property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
69277,-37.86449,145.037905,7 Lysterville Avenue,MALVERN,4260000,house,2016,3,2,2,SC_023,1374,19944,781,18,0,hospital_183,160,S_235,923
72336,-37.847437,145.262319,36 Orange Grove,BAYSWATER,7000000,house,2010,2,1,1,SC_032,4856,19870,815,50,0,hospital_002,1032,S_139,639
8706,-37.7492218,144.7814026,9 Moorland Road,CAIRNLEA,5040000,house,2009,4,2,2,SC_107,3345,20002,1711,33,0,hospital_057,3171,S_152,618
39914,-37.702119,145.059471,19A Doidge Street,BUNDOORA,7232000,house,2014,3,1,1,SC_047,4799,19984,2357,34,0,hospital_037,196,S_155,556
89255,-37.95759,145.0086802,168 Beach Road,SANDRINGHAM,17500000,house,2013,4,3,2,SC_079,2995,19948,885,29,0,hospital_058,993,S_214,1797
15873,-37.733788,144.876911,95 Hotham Road,NIDDRIE,6182000,house,2015,3,1,1,SC_010,2363,20036,4153,23,0,hospital_184,2654,S_198,1800
88640,-37.955392,145.055127,21 Tennyson Street,HIGHETT,10000000,house,2011,3,1,1,SC_079,1416,19866,1254,36,0,hospital_082,583,S_023,457
93657,-37.989234,145.095022,73 Scarlet Street,MORDIALLOC,7304000,house,2012,3,2,2,SC_003,2081,19864,1695,41,0,hospital_001,1952,S_003,1668
56548,-37.845408,145.108221,3 Puerta Street,BURWOOD,5600000,house,2014,3,1,1,SC_037,3189,19895,2508,30,0,hospital_089,1821,S_097,2442
71869,-37.8565495,145.2184373,92 Barmah Dr,WANTIRNA,6060000,house,2012,4,2,2,SC_032,4960,19871,3891,46,0,hospital_008,1078,S_226,1159
32093,-37.745054,145.016398,18 Ruby Street,PRESTON,9840000,house,2014,2,1,1,SC_103,1410,20013,1430,25,0,hospital_035,2125,S_105,1308
51462,-37.791462,145.127699,48 Clay Drive,DONCASTER,23680000,house,2015,5,3,2,SC_091,509,20042,3138,30,0,hospital_194,2297,S_188,593
8824,-37.87676,144.761928,12 Royal Court,SEABROOK,6960000,house,2016,4,2,2,SC_092,3434,19924,1134,30,0,hospital_073,7221,S_007,1968
63885,-37.78646,145.294485,2/73 Lincoln Road,CROYDON,5418000,house,2011,2,1,1,SC_022,1726,19878,1578,51,0,hospital_164,4162,S_181,1592
25226,-37.5866394,144.9209442,12 Mulberry Pass,CRAIGIEBURN,4080000,house,2008,3,2,1,SC_016,935,40221,2598,45,0,hospital_104,7130,S_178,1413
45634,-37.678545,145.11454,11 Paphos Court,PLENTY,4333000,house,2016,4,3,3,SC_062,3936,19985,2882,38,0,hospital_075,3056,S_051,2009
48525,-37.803998,145.022106,5 Yarra Street,KEW,24120000,house,2014,3,2,2,SC_083,2183,19905,1985,19,0,hospital_032,623,S_039,799
25180,-37.575018,144.924987,118 Royal Terrace,CRAIGIEBURN,5028000,house,2013,4,2,2,SC_005,403,40221,3393,45,0,hospital_104,8434,S_178,2257
12973,-37.709775,144.777145,31 Tudor Rose Crescent,SYDENHAM,4440000,house,2014,4,2,2,SC_107,3301,20000,997,39,0,hospital_057,6533,S_094,835
24190,-37.694073,144.970121,23 Alec Crescent,FAWKNER,9120000,house,2016,3,1,3,SC_030,4616,19961,1233,35,0,hospital_139,3590,S_161,1160
89189,-37.95381546,145.0067139,13 Tennyson Street,SANDRINGHAM,7320000,house,2009,2,1,1,SC_079,3060,19948,431,29,0,hospital_036,1294,S_214,1644
21665,-37.77197,144.967254,97 Glenlyon Road,BRUNSWICK,6600000,house,2012,2,1,1,SC_008,4444,19969,822,20,0,hospital_144,1770,S_138,647
2812,-37.81849289,144.8825836,13/283 Williamstown Road,YARRAVILLE,4480000,house,2008,2,1,1,SC_033,3279,19996,710,15,0,hospital_056,2840,S_201,2396
37537,-37.64139,145.036723,50 Northumberland Drive,EPPING,4147000,house,2012,3,1,1,SC_062,4449,20005,1355,43,0,hospital_053,2113,S_196,2385
18787,-37.693025,144.930336,39 Elliot Avenue,BROADMEADOWS,5920000,house,2015,3,1,1,SC_059,4033,20031,1297,34,0,hospital_104,4792,S_209,1548
96309,-37.922006,145.048373,9 Jeffrey Street,BENTLEIGH,11040000,house,2015,3,2,2,SC_046,2137,19939,1121,38,0,hospital_110,1595,S_107,615
79609,-37.98997116,145.1714478,12 Wannon Court,KEYSBOROUGH,5440000,house,2008,3,1,2,SC_057,348,19889,2197,51,0,hospital_096,409,S_079,356
95521,-37.907005,145.030935,31 Lysbeth Street,MCKINNON,15385000,house,2012,4,2,1,SC_041,3473,19940,744,36,0,hospital_126,1240,S_107,1704
22321,-37.735538,144.960195,22 Stawell Street,COBURG,7300000,house,2014,4,1,2,SC_030,952,19964,323,30,0,hospital_084,2071,S_172,812
29836,-37.783007,145.014483,271 Westgarth Street,NORTHCOTE,15000000,house,2012,4,2,3,SC_001,2931,19930,477,18,0,hospital_029,1095,S_219,2905
16831,-37.709498,144.912548,22 Prospect Street,GLENROY,14365000,house,2015,3,1,1,SC_010,2308,20032,688,32,0,hospital_184,3710,S_209,1081
2405,-37.810304,144.878625,61 Kingsville Street,KINGSVILLE,9810000,house,2016,3,2,1,SC_043,2387,20023,1114,19,0,hospital_056,2024,S_201,2009
87953,-37.94321442,145.0123901,8 Banks Avenue,HAMPTON,11250000,house,2008,3,1,2,SC_046,2315,19948,1048,29,0,hospital_036,766,S_214,889
68230,-37.84348679,145.0205383,9 Myoora Road,TOORAK,16500000,house,2009,3,2,2,SC_038,1127,19909,998,11,0,hospital_132,1565,S_102,1136
8591,-37.753609,144.780077,6 Lomandra Way,CAIRNLEA,6920000,house,2016,4,2,3,SC_107,3789,20002,2009,33,0,hospital_057,3124,S_152,426
28889,-37.79985,144.997283,2 Rich Street,ABBOTSFORD,2028000,house,2016,2,1,1,SC_008,2758,19975,260,10,0,hospital_134,1370,S_076,1095
17327,-37.706275,144.948726,48 Sutherland Street,HADFIELD,4914000,house,2010,3,1,1,SC_030,2911,19961,1089,35,0,hospital_139,4522,S_004,883
32312,-37.735053,144.997061,22 Cooper Street,PRESTON,7480000,house,2014,3,2,1,SC_103,663,20012,505,27,0,hospital_139,1948,S_085,558
27677,-37.608409,144.917294,72 Lakes Drive,CRAIGIEBURN,6528000,house,2013,4,2,2,SC_016,1755,40221,2409,45,0,hospital_104,4715,S_178,2178
75834,-37.906345,145.08178,18 Calembeena Avenue,HUGHESDALE,2720000,house,2014,3,1,1,SC_087,1995,19917,878,34,0,hospital_159,2190,S_010,1765
93898,-38.068371,145.131199,32 La Perouse Boulevard,BONBEACH,9180000,house,2014,3,2,2,SC_070,5023,19858,1057,54,0,hospital_043,8948,S_077,2058
31176,-37.755638,145.003939,35 Flinders Street,THORNBURY,11205000,house,2012,3,1,1,SC_103,1795,20014,476,23,0,hospital_035,879,S_105,509
80652,-37.978538,145.218328,1/20 Bruce Street,DANDENONG,4700000,house,2013,3,2,1,SC_112,993,19888,1479,54,0,hospital_033,280,S_183,618
88825,-37.951381,145.035223,37 Beaumaris Parade,HIGHETT,6215000,house,2011,3,1,0,SC_079,571,19872,670,40,0,hospital_058,1827,S_069,571
6980,-37.789244,144.827704,71 Graham Street,SUNSHINE,6160000,house,2011,3,1,1,SC_102,926,20021,461,25,0,hospital_174,1354,S_080,971
47015,-37.709621,145.135167,3 St Ronans Court,ELTHAM,8700000,house,2014,4,3,2,SC_051,4549,19987,1197,44,0,hospital_075,2628,S_194,2098
50614,-37.75194168,145.1320343,65 Porter Street,TEMPLESTOWE,6440000,house,2009,3,1,2,SC_009,3846,19986,4183,40,0,hospital_193,2786,S_046,2883
75738,-37.91016769,145.100647,142 Haughton Road,OAKLEIGH,2968000,house,2008,3,1,2,SC_087,2943,19916,178,36,0,hospital_166,1301,S_010,2015
31172,-37.756558,144.985981,34A Newman Street,THORNBURY,6750000,house,2016,2,1,0,SC_103,2355,20014,1120,23,0,hospital_144,1248,S_105,1669
53178,-37.82751083,144.9947205,38 Green Street,CREMORNE,6512000,house,2009,2,1,0,SC_038,1878,19907,240,6,0,hospital_146,1099,S_102,1858
60994,-37.821657,145.2398,1 Belle Vue Avenue,RINGWOOD,9120000,house,2016,3,1,0,SC_032,1384,19871,851,46,0,hospital_105,1205,S_190,1399
36236,-37.669602,145.02332,1A West Court,LALOR,6150000,house,2010,3,2,1,SC_062,5831,20006,682,40,0,hospital_053,2094,S_229,411
36755,-37.64487457,145.0374603,11 Tatlow Drive,EPPING,3600000,house,2008,3,2,2,SC_062,4301,20005,1057,43,0,hospital_053,1992,S_196,2538
82799,-37.90903854,145.2515717,49 Bexsarm Crescent,ROWVILLE,3584000,house,2009,3,2,2,SC_049,5236,19868,4897,55,0,hospital_026,4710,S_027,2096
7390,-37.729207,144.820046,3 Embank Court,KEALBA,3850000,house,2015,3,1,2,SC_107,1133,20001,2316,36,0,hospital_057,3516,S_222,1425
56327,-37.855788,145.1203491,2 Ian Grove,BURWOOD,9252000,house,2013,4,2,2,SC_042,3490,19840,2111,28,0,hospital_047,1848,S_097,1279
70301,-37.866488,145.076465,76 Dent Street.,ASHBURTON,17760000,house,2011,3,1,1,SC_042,1790,19847,346,37,0,hospital_098,797,S_112,1519
89058,-37.953596,145.028219,9 Highland Avenue,HIGHETT,7460000,house,2014,3,1,3,SC_079,1232,19872,1329,40,0,hospital_058,1206,S_214,1055
86834,-37.91825485,144.9894104,5 Manor Street,BRIGHTON,13680000,house,2009,3,2,2,SC_046,4904,19951,697,22,0,hospital_156,745,S_009,647
40227,-37.714611,145.034384,28 Eagle Avenue,KINGSBURY,8505000,house,2010,3,1,1,SC_047,2688,20009,2313,33,0,hospital_025,817,S_225,1249
43808,-37.708358,145.086245,48 Ibbottson Street,WATSONIA,6596000,house,2011,3,1,0,SC_017,5502,19984,361,34,0,hospital_075,1765,S_020,1283
6641,-37.788037,144.841634,34 High Street,SUNSHINE,3432000,house,2014,3,1,1,SC_102,952,20021,772,25,0,hospital_174,1403,S_080,1035
89016,-37.950693,145.039625,70 Middleton Street,HIGHETT,10200000,house,2013,3,1,1,SC_079,215,19872,320,40,0,hospital_082,1859,S_069,215
23845,-37.69346619,144.9671783,1 Irvin Court,FAWKNER,6477000,house,2008,4,1,2,SC_030,4587,19961,1086,35,0,hospital_139,3820,S_161,898
17645,-37.708691,144.916271,719 Pascoe Vale Road,GLENROY,5445000,house,2014,2,1,1,SC_010,2648,20032,470,32,0,hospital_184,3869,S_209,743
40053,-37.712901,145.051866,21 Sanctuary Drive,BUNDOORA,11600000,house,2011,4,3,2,SC_047,3428,19983,2108,31,0,hospital_025,889,S_155,1602
43886,-37.71310806,145.0892944,62 Orana Drive,WATSONIA,4040000,house,2008,3,1,1,SC_017,5088,19984,540,34,0,hospital_075,1708,S_020,1333
80687,-37.973198,145.225561,10 Cornelius Street,DANDENONG,6440000,house,2015,3,2,1,SC_112,1799,19888,2327,54,0,hospital_033,889,S_183,1484
35217,-37.721205,145.021762,56 Boldrewood Parade,RESERVOIR,5970000,house,2014,3,1,2,SC_047,2072,20010,1386,32,0,hospital_025,1943,S_225,739
383,-37.79457474,144.8961029,15 Tiernan Street,FOOTSCRAY,7014000,house,2007,2,1,0,SC_011,2224,20025,956,14,0,hospital_003,666,S_201,707
93989,-38.057962,145.126746,58 Broadway,BONBEACH,3906000,house,2013,3,1,3,SC_070,5955,19859,831,52,0,hospital_096,8145,S_077,1033
37634,-37.632058,145.034094,6 Two Creek Drive,EPPING,6342000,house,2010,4,2,2,SC_062,5030,20005,2289,43,0,hospital_053,2669,S_196,2224
94395,-37.958905,145.077578,5 Pebble Beach Place,HEATHERTON,8415000,house,2014,5,2,2,SC_003,1693,19866,2196,36,0,hospital_109,478,S_023,1910
67596,-37.767013,145.370073,6 Bristol Crescent,LILYDALE,5180000,house,2011,3,1,0,SC_084,5037,19876,2347,61,0,hospital_113,1457,S_081,1968
33680,-37.706652,145.020525,12 Borrie Street,RESERVOIR,8436000,house,2016,3,2,2,SC_047,3654,20009,979,33,0,hospital_025,2301,S_225,2157
64181,-37.79781342,145.2781067,3 Mena Avenue,CROYDON,5015000,house,2009,2,1,1,SC_022,459,19878,343,51,0,hospital_164,2268,S_182,276
42131,-37.750214,145.08221,36 Buckingham Drive,HEIDELBERG,14420000,house,2016,3,1,1,SC_017,1353,19936,1633,28,0,hospital_066,1883,S_100,1569
4809,-37.86423874,144.8378296,10 Chifley Avenue,ALTONA,3120000,house,2009,2,1,3,SC_033,4254,19927,486,28,0,hospital_141,4726,S_128,805
